"","SpawnBio_om","Recruit_0_om","F_om","SpawnBio_em","Recruit_0_em","F_em","scenario","replicate","D","E","F","species","year"
"1",7707.06,1674.17,0,7799.86,1692.09,0,"D100-E0-F100-sna",1,"D100","E0","F100","sna",1978
"2",7796.9,1675.48,0.45,7889.58,1693.4,0.450479,"D100-E0-F100-sna",1,"D100","E0","F100","sna",1979
"3",5629.65,1626.74,0.52,5724.93,966.279,0.518236,"D100-E0-F100-sna",1,"D100","E0","F100","sna",1980
"4",4098.28,1584.04,0.63,4197.17,2599.64,0.623488,"D100-E0-F100-sna",1,"D100","E0","F100","sna",1981
"5",3020.36,1487.58,0.54,3122.3,688.108,0.530405,"D100-E0-F100-sna",1,"D100","E0","F100","sna",1982
"6",2581.03,1469.98,0.62,2683.17,1693.36,0.605395,"D100-E0-F100-sna",1,"D100","E0","F100","sna",1983
"7",2258.22,1425.95,0.48,2349.08,1614.52,0.468391,"D100-E0-F100-sna",1,"D100","E0","F100","sna",1984
"8",2220.15,1436.08,0.5,2283.63,1132.2,0.492865,"D100-E0-F100-sna",1,"D100","E0","F100","sna",1985
"9",2182.26,1408.83,0.45,2228.1,1513.26,0.45095,"D100-E0-F100-sna",1,"D100","E0","F100","sna",1986
"10",2194.78,1395.87,0.46,2235.94,1573.45,0.464341,"D100-E0-F100-sna",1,"D100","E0","F100","sna",1987
"11",2175.54,1406.3,0.47,2206.68,1145.51,0.475227,"D100-E0-F100-sna",1,"D100","E0","F100","sna",1988
"12",2131.76,1406.99,0.47,2157.8,1475.02,0.477394,"D100-E0-F100-sna",1,"D100","E0","F100","sna",1989
"13",2085.37,1444.18,0.69,2108.03,1725.98,0.701941,"D100-E0-F100-sna",1,"D100","E0","F100","sna",1990
"14",1847.22,1360.39,0.57,1864.64,1022.2,0.580743,"D100-E0-F100-sna",1,"D100","E0","F100","sna",1991
"15",1785.82,1346.9,0.58,1804.21,1595.72,0.592527,"D100-E0-F100-sna",1,"D100","E0","F100","sna",1992
"16",1740.55,1363.96,0.62,1760.21,1219.92,0.632188,"D100-E0-F100-sna",1,"D100","E0","F100","sna",1993
"17",1685.9,1363.9,0.86,1704.34,1371.66,0.876055,"D100-E0-F100-sna",1,"D100","E0","F100","sna",1994
"18",1502.57,1313.54,0.91,1527.7,1504.46,0.925492,"D100-E0-F100-sna",1,"D100","E0","F100","sna",1995
"19",1373.11,1265.09,0.89,1407.1,1125.33,0.894814,"D100-E0-F100-sna",1,"D100","E0","F100","sna",1996
