"","SSB_MSY_om","TotYield_MSY_om","SSB_Unfished_om","depletion_om","NLL_om","params_on_bound_om","NatM_p_1_Fem_GP_1_om","L_at_Amin_Fem_GP_1_om","L_at_Amax_Fem_GP_1_om","VonBert_K_Fem_GP_1_om","CV_young_Fem_GP_1_om","CV_old_Fem_GP_1_om","Wtlen_1_Fem_om","Wtlen_2_Fem_om","Mat50._Fem_om","Mat_slope_Fem_om","Eggs.kg_inter_Fem_om","Eggs.kg_slope_wt_Fem_om","RecrDist_GP_1_om","RecrDist_Area_1_om","RecrDist_Seas_1_om","CohortGrowDev_om","AgeKeyParm1_om","AgeKeyParm2_om","AgeKeyParm3_om","AgeKeyParm4_om","AgeKeyParm5_om","AgeKeyParm6_om","AgeKeyParm7_om","SR_LN_R0_om","SR_BH_steep_om","SR_sigmaR_om","SR_envlink_om","SR_R1_offset_om","SR_autocorr_om","InitF_1fishery_om","LnQ_base_1_fishery_om","LnQ_base_2_survey_om","SizeSel_1P_1_fishery_om","SizeSel_1P_2_fishery_om","SizeSel_2P_1_survey_om","SizeSel_2P_2_survey_om","SizeSel_2P_3_survey_om","SizeSel_2P_4_survey_om","SizeSel_2P_5_survey_om","SizeSel_2P_6_survey_om","Catch_endyear_om","SSB_MSY_em","TotYield_MSY_em","SSB_Unfished_em","depletion_em","NLL_em","params_on_bound_em","NatM_p_1_Fem_GP_1_em","L_at_Amin_Fem_GP_1_em","L_at_Amax_Fem_GP_1_em","VonBert_K_Fem_GP_1_em","CV_young_Fem_GP_1_em","CV_old_Fem_GP_1_em","Wtlen_1_Fem_em","Wtlen_2_Fem_em","Mat50._Fem_em","Mat_slope_Fem_em","Eggs.kg_inter_Fem_em","Eggs.kg_slope_wt_Fem_em","RecrDist_GP_1_em","RecrDist_Area_1_em","RecrDist_Seas_1_em","CohortGrowDev_em","AgeKeyParm1_em","AgeKeyParm2_em","AgeKeyParm3_em","AgeKeyParm4_em","AgeKeyParm5_em","AgeKeyParm6_em","AgeKeyParm7_em","SR_LN_R0_em","SR_BH_steep_em","SR_sigmaR_em","SR_envlink_em","SR_R1_offset_em","SR_autocorr_em","InitF_1fishery_em","LnQ_base_1_fishery_em","LnQ_base_2_survey_em","SizeSel_1P_1_fishery_em","SizeSel_1P_2_fishery_em","SizeSel_2P_1_survey_em","SizeSel_2P_2_survey_em","SizeSel_2P_3_survey_em","SizeSel_2P_4_survey_em","SizeSel_2P_5_survey_em","SizeSel_2P_6_survey_em","Catch_endyear_em","bias1","bias2","bias3","bias4","bias5","bias.converged","bias.tried","scenario","replicate","D","E","F","species","max_grad","version","RunTime","hessian"
"1",8425.52,0,8425.52,0.173799361938492,-115.626,0,0.2,8,83,0.1,0.1,0,4.5e-05,2.795,36.3,-0.25,1,0,0,0,0,1,1,0.25,1.25,1,2,4,1,7.42888,0.8,0.8,0,0,0,0.015141,0,0,44.5104,11.0351,29.7528,-17.5462,2.82283,3.62088,-17.7889,-4.56702,531.866,8512.61,0,8512.61,0.167808697919909,574.064,0,0.2,8,83,0.1,0.1,0,4.5e-05,2.795,36.3,-0.25,1,0,0,0,0,1,1,0.25,1.25,1,2,4,1,7.43916,0.8,0.8,0,0,0,0.0151613,0,0,44.9718,11.5678,29.8765,-16.6293,2.94507,3.57088,-18.2001,-4.67081,531.867,NA,NA,NA,NA,NA,NA,NA,"D100-E0-F0-sna",1,"D100","E0","F0","sna",1.05701e-05,"#V3.24O",0.133333333333333,FALSE
"2",8425.52,0,8425.52,0.172935320312574,-115.627,0,0.2,8,83,0.1,0.1,0,4.5e-05,2.795,36.3,-0.25,1,0,0,0,0,1,1,0.25,1.25,1,2,4,1,7.42888,0.8,0.8,0,0,0,0.015141,0,0,44.5104,11.0351,29.7528,-17.5462,2.82283,3.62088,-17.7889,-4.56702,529.524,8474.19,0,8474.19,0.164060517878405,579.696,0,0.2,8,83,0.1,0.1,0,4.5e-05,2.795,36.3,-0.25,1,0,0,0,0,1,1,0.25,1.25,1,2,4,1,7.43464,0.8,0.8,0,0,0,0.0151753,0,0,44.8574,11.1633,29.8904,-16.5055,2.92375,3.55528,-18.1386,-4.49607,529.525,NA,NA,NA,NA,NA,NA,NA,"D100-E0-F0-sna",2,"D100","E0","F0","sna",1.22073e-05,"#V3.24O",0.133333333333333,FALSE
"3",8425.52,0,8425.52,0.171854081409812,-115.626,0,0.2,8,83,0.1,0.1,0,4.5e-05,2.795,36.3,-0.25,1,0,0,0,0,1,1,0.25,1.25,1,2,4,1,7.42888,0.8,0.8,0,0,0,0.015141,0,0,44.5104,11.0351,29.7528,-17.5462,2.82283,3.62088,-17.7889,-4.56702,526.381,8406.09,0,8406.09,0.16424401832481,559.637,0,0.2,8,83,0.1,0.1,0,4.5e-05,2.795,36.3,-0.25,1,0,0,0,0,1,1,0.25,1.25,1,2,4,1,7.42657,0.8,0.8,0,0,0,0.0150994,0,0,44.2961,10.9362,29.7182,-5.70476,2.74365,3.54845,-11.2136,-4.37098,526.382,NA,NA,NA,NA,NA,NA,NA,"D100-E0-F0-sna",3,"D100","E0","F0","sna",7.70875e-05,"#V3.24O",0.15,FALSE
"4",8425.52,0,8425.52,0.172405976129663,-115.627,0,0.2,8,83,0.1,0.1,0,4.5e-05,2.795,36.3,-0.25,1,0,0,0,0,1,1,0.25,1.25,1,2,4,1,7.42888,0.8,0.8,0,0,0,0.015141,0,0,44.5104,11.0351,29.7528,-17.5462,2.82283,3.62088,-17.7889,-4.56702,527.911,8461.05,0,8461.05,0.173022260830512,546.061,0,0.2,8,83,0.1,0.1,0,4.5e-05,2.795,36.3,-0.25,1,0,0,0,0,1,1,0.25,1.25,1,2,4,1,7.43309,0.8,0.8,0,0,0,0.0149696,0,0,44.3185,10.328,29.7129,-17.1317,2.78533,3.60457,-18.1689,-4.3928,527.912,NA,NA,NA,NA,NA,NA,NA,"D100-E0-F0-sna",4,"D100","E0","F0","sna",0.00039482,"#V3.24O",0.15,FALSE
"5",8425.52,0,8425.52,0.172445142851717,-115.627,0,0.2,8,83,0.1,0.1,0,4.5e-05,2.795,36.3,-0.25,1,0,0,0,0,1,1,0.25,1.25,1,2,4,1,7.42888,0.8,0.8,0,0,0,0.015141,0,0,44.5104,11.0351,29.7528,-17.5462,2.82283,3.62088,-17.7889,-4.56702,527.39,8530.03,0,8530.03,0.175219782345431,611.61,1,0.2,8,83,0.1,0.1,0,4.5e-05,2.795,36.3,-0.25,1,0,0,0,0,1,1,0.25,1.25,1,2,4,1,7.44121,0.8,0.8,0,0,0,0.0153016,0,0,45.4479,11.5244,29.7351,-15.6098,2.72781,3.58431,-10.0009,-4.49858,527.391,NA,NA,NA,NA,NA,NA,NA,"D100-E0-F0-sna",5,"D100","E0","F0","sna",5.23356e-05,"#V3.24O",0.15,FALSE
"6",8425.52,0,8425.52,0.172911582905269,-115.625,0,0.2,8,83,0.1,0.1,0,4.5e-05,2.795,36.3,-0.25,1,0,0,0,0,1,1,0.25,1.25,1,2,4,1,7.42888,0.8,0.8,0,0,0,0.015141,0,0,44.5104,11.0351,29.7528,-17.5462,2.82283,3.62088,-17.7889,-4.56702,528.388,8485.68,0,8485.68,0.181380867532125,551.88,0,0.2,8,83,0.1,0.1,0,4.5e-05,2.795,36.3,-0.25,1,0,0,0,0,1,1,0.25,1.25,1,2,4,1,7.43599,0.8,0.8,0,0,0,0.0154418,0,0,45.5885,11.4807,29.6968,-6.0801,2.74841,3.59613,-18.1313,-4.63291,528.389,NA,NA,NA,NA,NA,NA,NA,"D100-E0-F0-sna",6,"D100","E0","F0","sna",0.000919623,"#V3.24O",0.15,FALSE
"7",8425.52,0,8425.52,0.173182189348551,-115.626,0,0.2,8,83,0.1,0.1,0,4.5e-05,2.795,36.3,-0.25,1,0,0,0,0,1,1,0.25,1.25,1,2,4,1,7.42888,0.8,0.8,0,0,0,0.015141,0,0,44.5104,11.0351,29.7528,-17.5462,2.82283,3.62088,-17.7889,-4.56702,529.886,8460.58,0,8460.58,0.17166199007633,577.788,0,0.2,8,83,0.1,0.1,0,4.5e-05,2.795,36.3,-0.25,1,0,0,0,0,1,1,0.25,1.25,1,2,4,1,7.43303,0.8,0.8,0,0,0,0.0153816,0,0,45.2172,12.0686,29.8619,-16.3402,2.8356,3.63224,-17.8795,-4.42169,529.887,NA,NA,NA,NA,NA,NA,NA,"D100-E0-F0-sna",7,"D100","E0","F0","sna",1.56204e-05,"#V3.24O",0.15,FALSE
"8",8425.52,0,8425.52,0.172208955649028,-115.626,0,0.2,8,83,0.1,0.1,0,4.5e-05,2.795,36.3,-0.25,1,0,0,0,0,1,1,0.25,1.25,1,2,4,1,7.42888,0.8,0.8,0,0,0,0.015141,0,0,44.5104,11.0351,29.7528,-17.5462,2.82283,3.62088,-17.7889,-4.56702,527.887,8512.99,0,8512.99,0.17307902393871,521.023,0,0.2,8,83,0.1,0.1,0,4.5e-05,2.795,36.3,-0.25,1,0,0,0,0,1,1,0.25,1.25,1,2,4,1,7.43921,0.8,0.8,0,0,0,0.0152671,0,0,45.2125,11.9171,29.6841,-5.86997,2.82546,3.55218,-18.0324,-4.26337,527.888,NA,NA,NA,NA,NA,NA,NA,"D100-E0-F0-sna",8,"D100","E0","F0","sna",0.000565608,"#V3.24O",0.166666666666667,FALSE
"9",8425.52,0,8425.52,0.17296143146061,-115.628,0,0.2,8,83,0.1,0.1,0,4.5e-05,2.795,36.3,-0.25,1,0,0,0,0,1,1,0.25,1.25,1,2,4,1,7.42888,0.8,0.8,0,0,0,0.015141,0,0,44.5104,11.0351,29.7528,-17.5462,2.82283,3.62088,-17.7889,-4.56702,529.361,8452.68,0,8452.68,0.160596402561081,515.975,0,0.2,8,83,0.1,0.1,0,4.5e-05,2.795,36.3,-0.25,1,0,0,0,0,1,1,0.25,1.25,1,2,4,1,7.4321,0.8,0.8,0,0,0,0.0150841,0,0,44.5308,10.8203,29.755,-4.59459,2.90241,3.27546,-17.6415,-4.4377,529.362,NA,NA,NA,NA,NA,NA,NA,"D100-E0-F0-sna",9,"D100","E0","F0","sna",2.64427e-05,"#V3.24O",0.15,FALSE
"10",8425.52,0,8425.52,0.173912114623192,-115.627,0,0.2,8,83,0.1,0.1,0,4.5e-05,2.795,36.3,-0.25,1,0,0,0,0,1,1,0.25,1.25,1,2,4,1,7.42888,0.8,0.8,0,0,0,0.015141,0,0,44.5104,11.0351,29.7528,-17.5462,2.82283,3.62088,-17.7889,-4.56702,532.124,8458.95,0,8458.95,0.178957199179567,620.194,0,0.2,8,83,0.1,0.1,0,4.5e-05,2.795,36.3,-0.25,1,0,0,0,0,1,1,0.25,1.25,1,2,4,1,7.43284,0.8,0.8,0,0,0,0.015178,0,0,44.7938,11.0698,29.5912,-15.9038,2.81867,3.67427,-17.589,-4.59804,532.125,NA,NA,NA,NA,NA,NA,NA,"D100-E0-F0-sna",10,"D100","E0","F0","sna",4.2991e-05,"#V3.24O",0.15,FALSE
