"","SpawnBio_om","Recruit_0_om","F_om","SpawnBio_em","Recruit_0_em","F_em","scenario","replicate","D","E","F","species","year"
"1",7707.06,1674.17,0,7800.98,1692.31,0,"D100-E0-F0-sna",1,"D100","E0","F0","sna",1978
"2",7796.9,1675.48,0.45,7890.7,1693.61,0.450505,"D100-E0-F0-sna",1,"D100","E0","F0","sna",1979
"3",5629.65,1608.06,0.52,5726.09,953.815,0.518245,"D100-E0-F0-sna",1,"D100","E0","F0","sna",1980
"4",4098.28,1574.27,0.63,4198.39,2570.8,0.623454,"D100-E0-F0-sna",1,"D100","E0","F0","sna",1981
"5",3020.35,1532.47,0.54,3123.57,751.34,0.530333,"D100-E0-F0-sna",1,"D100","E0","F0","sna",1982
"6",2580.95,1475.74,0.62,2684.43,1687.67,0.605266,"D100-E0-F0-sna",1,"D100","E0","F0","sna",1983
"7",2257.65,1446.13,0.48,2349.97,1643.88,0.468255,"D100-E0-F0-sna",1,"D100","E0","F0","sna",1984
"8",2218.15,1438.72,0.5,2283.19,1127.76,0.492664,"D100-E0-F0-sna",1,"D100","E0","F0","sna",1985
"9",2178.85,1414.6,0.45,2225.92,1521.41,0.450736,"D100-E0-F0-sna",1,"D100","E0","F0","sna",1986
"10",2192.88,1423.78,0.46,2234.82,1604.01,0.464246,"D100-E0-F0-sna",1,"D100","E0","F0","sna",1987
"11",2178.69,1426.97,0.47,2210.45,1161.95,0.475311,"D100-E0-F0-sna",1,"D100","E0","F0","sna",1988
"12",2140.68,1415.89,0.47,2167.38,1488.74,0.47755,"D100-E0-F0-sna",1,"D100","E0","F0","sna",1989
"13",2098.13,1419.44,0.69,2121.51,1696.23,0.702126,"D100-E0-F0-sna",1,"D100","E0","F0","sna",1990
"14",1860.48,1368.98,0.57,1878.6,1031.24,0.58082,"D100-E0-F0-sna",1,"D100","E0","F0","sna",1991
"15",1799.9,1369.5,0.58,1819.05,1622.58,0.592568,"D100-E0-F0-sna",1,"D100","E0","F0","sna",1992
"16",1756.26,1349.09,0.62,1776.74,1200.71,0.632244,"D100-E0-F0-sna",1,"D100","E0","F0","sna",1993
"17",1702.13,1344.61,0.86,1721.41,1353.68,0.876148,"D100-E0-F0-sna",1,"D100","E0","F0","sna",1994
"18",1514.71,1313.64,0.91,1540.6,1503.79,0.92551,"D100-E0-F0-sna",1,"D100","E0","F0","sna",1995
"19",1379.69,1277.2,0.89,1414.32,1139.39,0.894768,"D100-E0-F0-sna",1,"D100","E0","F0","sna",1996
"20",1311.57,1235.21,0.93,1348.77,949.027,0.927714,"D100-E0-F0-sna",1,"D100","E0","F0","sna",1997
"21",1253.86,1231.44,0.77,1290.09,1745.93,0.768776,"D100-E0-F0-sna",1,"D100","E0","F0","sna",1998
"22",1286.35,1258.29,0.71,1321.75,916.749,0.710657,"D100-E0-F0-sna",1,"D100","E0","F0","sna",1999
"23",1332.32,1244.19,0.73,1371.89,1842.1,0.73075,"D100-E0-F0-sna",1,"D100","E0","F0","sna",2000
"24",1344.06,1279.7,0.58,1385.32,623.784,0.578535,"D100-E0-F0-sna",1,"D100","E0","F0","sna",2001
"25",1415.45,1299.31,0.71,1446.55,1456.53,0.7104,"D100-E0-F0-sna",1,"D100","E0","F0","sna",2002
"26",1382.9,1276.8,0.74,1409.46,1941.55,0.748046,"D100-E0-F0-sna",1,"D100","E0","F0","sna",2003
"27",1337.3,1263.86,0.64,1377.42,365.856,0.644266,"D100-E0-F0-sna",1,"D100","E0","F0","sna",2004
"28",1358.81,1266.7,0.57,1422.6,1510.28,0.562619,"D100-E0-F0-sna",1,"D100","E0","F0","sna",2005
"29",1416.74,1293.21,0.59,1491.62,1248.01,0.571776,"D100-E0-F0-sna",1,"D100","E0","F0","sna",2006
"30",1451.75,1301.67,0.55,1523.22,1297.18,0.53237,"D100-E0-F0-sna",1,"D100","E0","F0","sna",2007
"31",1501.84,1299.56,0.61,1582.62,1237.26,0.592764,"D100-E0-F0-sna",1,"D100","E0","F0","sna",2008
"32",1498.65,1308.65,0.6,1580.78,1004.67,0.578431,"D100-E0-F0-sna",1,"D100","E0","F0","sna",2009
"33",1498.35,1296.06,0.62,1554.5,375.462,0.601871,"D100-E0-F0-sna",1,"D100","E0","F0","sna",2010
"34",1485.48,1302.92,0.66,1511.23,47.3932,0.660113,"D100-E0-F0-sna",1,"D100","E0","F0","sna",2011
"35",1456.23,1307.36,0.63,1460.47,46.9788,0.646954,"D100-E0-F0-sna",1,"D100","E0","F0","sna",2012
"36",1458.43,1296.78,0.61,1438.61,1301.77,0.638203,"D100-E0-F0-sna",1,"D100","E0","F0","sna",2013
"37",7707.06,1674.17,0,7751.3,1682.69,0,"D100-E0-F0-sna",2,"D100","E0","F0","sna",1978
"38",7796.9,1675.48,0.45,7841.11,1684,0.449329,"D100-E0-F0-sna",2,"D100","E0","F0","sna",1979
"39",5629.65,1616.12,0.52,5674.37,1742.5,0.51827,"D100-E0-F0-sna",2,"D100","E0","F0","sna",1980
